damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
122,2023-04-11 08:00:00,河南省,黄河,枯河,117.17,41401740,唐岗,4,0
132,2023-04-11 08:00:00,河南省,黄河,漭河,124.89,41401820,白墙,3,0
139,2023-04-11 08:00:00,山东省,黄河,玉符河,128.66,41403800,卧虎山水库,56,0
46,2023-04-11 08:00:00,山东省,黄河,东平湖,41.26,41502460,东平湖老湖,496,0
239,2023-04-11 08:00:00,山东省,黄河,瀛汶河,231.86,41502500,雪野水库,143,0
145,2023-04-11 08:00:00,山东省,黄河,石汶河,137.75,41502800,黄前水库,46,0
232,2023-04-11 08:00:00,山东省,黄河,大汶河南支,225.98,41503000,东周水库,45,0
93,2023-04-11 08:00:00,山东省,黄河,光明河,87.24,41503400,光明水库,35,0
333,2023-04-11 08:00:00,河南省,黄河,伊河,313.83,41602500,陆浑坝上,455,0
619,2023-04-11 08:00:00,河南省,黄河,焦家川,604.85,41602700,青沟,2,0
330,2023-04-11 08:00:00,河南省,黄河,马涧河,313.04,41603550,九龙角,1,0
140,2023-04-11 08:00:00,河南省,黄河,刘涧河,128.61,41603620,陶花店,1,0
551,2023-04-11 08:00:00,河南省,黄河,洛河,528.39,41605400,故县水库,526,0
605,2023-04-11 08:00:00,河南省,黄河,马营涧,595.31,41606300,大沟口,7,0
336,2023-04-11 08:00:00,河南省,黄河,甘水河,326.0,41607100,范店,3,0
473,2023-04-11 08:00:00,,,南洛河,1034.8,41607900,李村,1,0
408,2023-04-11 08:00:00,河南省,黄河,陈宅河,398.61,41608750,寺河,3,0
366,2023-04-11 08:00:00,河南省,黄河,丹河,351.31,41704500,青天河,11,0
242,2023-04-11 08:00:00,山东省,淮河,淄河,231.08,41804700,太河水库,100,0
144,2023-04-11 08:00:00,山东省,淮河,弥河,136.63,41805400,冶源水库,81,0
65,2023-04-11 08:00:00,山东省,淮河,白浪河,56.29,41806200,白浪河水库,33,0
108,2023-04-11 08:00:00,山东省,淮河,潍河,98.46,41806800,墙夼水库(东库),83,0
108,2023-04-11 08:00:00,山东省,淮河,潍河,98.46,41806810,墙夼水库(西库),13,0
44,2023-04-11 08:00:00,山东省,淮河,潍河,37.14,41807100,峡山水库,497,0
160,2023-04-11 08:00:00,山东省,淮河,汶河,152.87,41808800,高崖水库,78,0
83,2023-04-11 08:00:00,山东省,淮河,汶河,75.5,41809000,牟山水库,77,0
77,2023-04-11 08:00:00,山东省,淮河,大沽河,72.16,41810200,产芝水库,209,0
84,2023-04-11 08:00:00,山东省,淮河,猪洞河,78.03,41811000,尹府水库,59,0
56,2023-04-11 08:00:00,山东省,淮河,白沙河,49.75,41812900,崂山水库,32,0
79,2023-04-11 08:00:00,山东省,淮河,黄水河,72.62,41814100,王屋水库,74,0
37,2023-04-11 08:00:00,山东省,淮河,清洋河,29.23,41814900,门楼水库,107,2
86,2023-04-11 08:00:00,山东省,淮河,东母猪河,81.31,41815188,郭格庄水库,7,0
35,2023-04-11 08:00:00,山东省,淮河,母猪河,29.5,41815700,米山水库,136,0
44,2023-04-11 08:00:00,山东省,淮河,乳山河,38.5,41816000,龙角山水库,47,0
90,2023-04-11 08:00:00,山东省,淮河,蚬河,81.9,41816500,沐浴水库,109,0
103,2023-04-11 08:00:00,河南省,淮河,十字江,97.4,50200060,王堂,6,0
138,2023-04-11 08:00:00,河南省,淮河,明河,117.66,50200080,红石嘴,0,0
114,2023-04-11 14:00:00,河南省,淮河,浉河,99.89,50201800,南湾,427,0
85,2023-04-11 08:00:00,河南省,淮河,小潢河,75.15,50202300,石山口,59,0
93,2023-04-11 14:00:00,河南省,淮河,青龙河,85.75,50202600,五岳,55,0
168,2023-04-11 08:00:00,河南省,淮河,田铺河,155.76,50203250,香山,46,0
161,2023-04-11 08:00:00,河南省,淮河,泼陂河,152.39,50203350,长洲河,11,0
87,2023-04-11 14:00:00,河南省,淮河,泼陂河,76.97,50203500,泼河,81,0
245,2023-04-11 14:00:00,湖北省,淮河,界河,233.39,50223150,花山,82,0
57,2023-04-11 08:00:00,河南省,淮河,小潢河,52.86,50225300,小龙山,10,0
112,2023-04-11 14:00:00,河南省,淮河,滚河,106.72,50300100,石漫滩,67,0
120,2023-04-11 08:00:00,河南省,淮河,汝河,107.86,50302010,板桥,136,0
156,2023-04-11 08:00:00,河南省,淮河,大沙河,150.37,50302150,火石山,4,0
114,2023-04-11 08:00:00,河南省,淮河,象河,109.51,50302180,霍庄,5,0
123,2023-04-11 08:00:00,河南省,淮河,黄溪河,116.71,50302190,老河,6,0
59,2023-04-11 08:00:00,河南省,淮河,汝河,52.12,50302400,宿鸭湖,166,0
130,2023-04-11 08:00:00,河南省,淮河,臻头河,110.39,50304900,薄山,168,0
141,2023-04-11 14:00:00,安徽省,淮河,史河,110.85,50500301,梅山,522,0
115,2023-04-11 14:00:00,河南省,淮河,灌河,96.81,50502400,鲇鱼山,173,0
109,2023-04-11 08:00:00,河南省,淮河,陶家河,100.95,50502950,铁佛寺,15,0
236,2023-04-11 08:00:00,河南省,淮河,颍河,221.31,50600300,白沙,72,0
181,2023-04-11 14:00:00,河南省,淮河,沙河,163.33,50603000,昭平台,98,0
110,2023-04-11 14:00:00,河南省,淮河,沙河,101.24,50603200,白龟山,198,0
157,2023-04-11 08:00:00,河南省,淮河,澎河,144.63,50604640,澎河,16,0
454,2023-04-11 08:00:00,河南省,淮河,马兰河,432.61,50604780,玉马,16,0
161,2023-04-11 14:00:00,河南省,淮河,澧河,148.87,50605800,孤石滩,34,0
158,2023-04-11 08:00:00,河南省,淮河,贾鲁河,144.3,50606500,尖岗,15,2
135,2023-04-11 08:00:00,河南省,淮河,贾峪河,0.0,50607300,常庄,0,0
185,2023-04-11 08:00:00,河南省,淮河,索河,0.0,50607400,丁店,0,0
336,2023-04-11 08:00:00,河南省,淮河,双洎河,321.47,50607740,李湾,7,0
204,2023-04-11 14:00:00,安徽省,淮河,淠河东源,176.64,50700901,磨子潭,103,0
131,2023-04-11 14:00:00,安徽省,淮河,淠河东源,117.08,50701001,佛子岭,198,0
144,2023-04-11 14:00:00,安徽省,淮河,淠河西源,108.83,50701301,响洪甸,484,0
37,2023-04-11 14:00:00,山东省,淮河,沂河,28.97,51100100,田庄水库,44,0
185,2023-04-11 08:00:00,山东省,淮河,沂河,174.38,51100300,跋山水库,185,0
181,2023-04-11 14:00:00,山东省,淮河,东汶河,171.75,51103400,岸堤水库,259,0
192,2023-04-11 14:00:00,山东省,淮河,浚河,182.94,51104700,唐村水库,42,0
200,2023-04-11 08:00:00,山东省,淮河,西皋河,188.71,51104800,昌里水库,19,0
151,2023-04-11 08:00:00,山东省,淮河,温凉河,143.22,51105200,许家崖水库,102,0
30,2023-04-11 14:00:00,江苏省,淮河,淋头河,25.25,51106500,阿湖水库站,5,0
26,2023-04-11 14:00:00,江苏省,淮河,骆马湖,22.95,51107800,骆马湖水库,820,0
76,2023-04-11 14:00:00,山东省,淮河,沭河,65.55,51110700,沙沟水库,24,0
167,2023-04-11 08:00:00,山东省,淮河,沭河,158.53,51111000,青峰岭水库,182,0
31,2023-04-11 14:00:00,江苏省,淮河,新沭河,23.46,51112101,石梁河水库,206,0
20,2023-04-11 14:00:00,江苏省,淮河,厚镇河,15.89,51114500,安峰山水库,40,0
159,2023-04-11 08:00:00,山东省,淮河,袁公河,151.31,51114600,小仕阳水库,50,0
132,2023-04-11 14:00:00,山东省,淮河,浔河,123.36,51114800,陡山水库,106,0
170,2023-04-11 08:00:00,山东省,淮河,资邱河,161.78,51124400,杨庄水库,3,0
156,2023-04-11 08:00:00,山东省,淮河,泗河,144.13,51206900,贺庄水库,24,0
155,2023-04-11 08:00:00,山东省,淮河,济河,147.28,51207700,龙湾套水库,25,0
130,2023-04-11 08:00:00,山东省,淮河,小沂河,119.86,51207800,尼山水库,34,0
112,2023-04-11 08:00:00,山东省,淮河,大沙河,104.45,51208300,西苇水库,34,0
116,2023-04-11 08:00:00,山东省,淮河,北沙河,102.66,51208400,马河水库,16,0
135,2023-04-11 08:00:00,山东省,淮河,城河,124.19,51208600,岩马水库,84,0
134,2023-04-11 08:00:00,山东省,淮河,西泇河,121.47,51209800,周村水库,18,0
81,2023-04-11 14:00:00,山东省,淮河,西泇河,73.19,51209900,会宝岭水库(南),80,0
127,2023-04-11 08:00:00,山东省,淮河,城河,117.27,51224000,户主水库,1,0
47,2023-04-11 08:00:00,山东省,淮河,付疃河,39.31,51300100,日照,117,0
38,2023-04-11 14:00:00,江苏省,淮河,青口河,30.66,51300601,小塔山水库,85,0
