时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-15T00:00:00.000Z,29.63,24.903,4,-,-,3,-,,31.03,-1.40,430981,103.0,2,洞庭湖,112.298944,28.794639,白沙长河,615K2441,益阳市沅江市三眼塘镇,胭包山,RR,5
2023-04-15T00:00:00.000Z,164.59,16.35,4,70.00,80.00,3,-,,166.0,-1.41,430224,1784.0,2,湘江,113.619389,26.552944,洣水,611K1615,株洲市茶陵县浣溪镇,青年,RR,1
2023-04-15T00:00:00.000Z,144.55,17.2,4,32.00,40.00,3,-,,146.0,-1.45,431224,,2,沅水,110.4485,27.86875,溆水,613K1218,怀化市溆浦县小江口乡,银珍,RR,3
2023-04-15T00:00:00.000Z,93.95,7.78,6,1.85,1.85,3,-,,95.4,-1.45,430181,,2,湘江,113.430611,28.392778,捞刀河,611K2013,长沙市浏阳市赤马镇横山头水库,横山头,RR,1
2023-04-15T00:00:00.000Z,272.42,9.555,5,0.67,0.22,3,-,,273.89,-1.47,430224,14.0,2,湘江,113.868389,26.896028,茶水,611K1616,株洲市茶陵县秩堂镇,东坑,RR,1
2023-04-15T00:00:00.000Z,68.03,8.4,4,-,-,3,-,,69.5,-1.47,430602,2.0,2,洞庭湖,113.208611,29.359444,北港河,615K0010,岳阳市岳阳楼区金凤桥管理处,金凤,RR,5
2023-04-15T08:00:00.000Z,165.51,9.422,,-,-,3,168.7,2014-05-24T16:00:00.000Z,167.0,-1.49,360322,,5,湘江,113.9495,27.928611,栗水,61112680,江西省萍乡市上栗县桐木镇枣木村,枣木水库,RR,1
2023-04-15T08:00:00.000Z,116.34,2.598,5,-,-,2,-,,117.85,-1.51,360313,,5,湘江,113.724722,27.719444,荷尧水,611R8280,江西省萍乡市湘东区荷尧镇泉陂村,下石陂水库,RR,1
2023-04-15T00:00:00.000Z,233.42,26.49,5,32.00,31.70,3,238.76,1991-02-13T03:08:00.000Z,235.0,-1.58,450327,1441.0,3,湘江,111.217,25.633,灌江,61102800,广西桂林市灌阳县水车乡穿岩村,水车,RR,1
2023-04-15T00:00:00.000Z,257.77,46.0,6,21.00,-,3,-,,259.5,-1.73,431225,,2,沅水,109.6164,26.95611,渠水,613K1323,怀化市会同县朗江镇,朗江,RR,3
2023-04-15T08:00:00.000Z,244.24,83.17,,10.07,23.93,4,250.19,1998-07-21T16:00:00.000Z,246.0,-1.76,430802,3473.0,2,澧水,110.171,29.192,澧水,61400350,张家界市永定区茅岩河镇温塘社区,鱼潭,RR,4
2023-04-15T00:00:00.000Z,48.24,6.869,5,0.13,-,3,53.8,1998-07-31T16:00:00.000Z,50.0,-1.76,430903,16.0,2,资水,112.3675,28.563611,梓山村水库干渠,61206200,益阳市赫山区赫山街道,梓山村,RR,2
2023-04-15T00:00:00.000Z,248.50,7.67,5,4.80,4.20,3,253.5,2003-07-08T16:00:00.000Z,250.28,-1.78,430802,66.0,2,澧水,110.439306,29.088472,仙人溪,61401540,张家界市永定区南庄坪街道,仙人溪,RR,4
2023-04-15T00:00:00.000Z,306.20,0.693,4,0.10,0.10,2,-,,308.0,-1.80,431021,2.0,2,湘江,112.748889,25.750556,西河,611K0555,郴州市桂阳县鹿峰街道,塔背,RR,1
2023-04-15T00:00:00.000Z,79.20,18.81,6,155.00,150.00,4,-,,81.0,-1.80,430821,,2,澧水,111.1833,29.49681,澧水,614K0219,张家界市慈利县苗市镇,茶林河,RR,4
2023-04-15T08:00:00.000Z,267.92,,,12.83,-,3,-,,269.8,-1.88,431281,,2,沅水,110.1475,27.11194,公溪河,613K1904,怀化市洪江市龙船塘瑶族乡,玉龙岩,RR,3
2023-04-15T00:00:00.000Z,471.02,6.13,6,31.80,39.10,3,-,,473.0,-1.98,431026,,2,湘江,113.7927,25.69108,耒水,611K0750,郴州市汝城县濠头乡,花木桥,RR,1
2023-04-15T00:00:00.000Z,204.22,41.15,5,4.00,1.50,3,208.15,2002-06-15T16:00:00.000Z,206.2,-1.98,431028,165.0,2,湘江,113.491222,26.458194,莲花江,61111950,郴州市安仁县金紫仙镇,茶安,RR,1
