时间,水位,流量,WPTN,警戒水位,OBHTZ,OBHTZTM,比警戒,HIS,ADDVCD,市,ATCUNIT,BGFRYM,主流,基本站,DRNA,DSTRVM,DTMEL,基准面,DTPR,ESSTYM,FRGRD,支流,LGTD,LOCALITY,LTTD,MODITIME,PHCD,河名,STAZT,STBK,STCD,站点编号,站点位置,站名站点类型,USFL,HN_NUM
2023-04-16T08:00:00.000Z,27.49,-,4,-,-,,-,NaN,430611,岳阳水文,水文,202007,长江,防汛站,-,,,,,202007,4,洞庭湖,112.474,湖南水文,28.2959,2023-04-14T05:11:06.000Z,QLHZCS,采桑湖,,,615F0050,岳阳市君山区钱粮湖镇幸福堤节制闸,采桑湖,ZZ,1,5
2023-04-16T08:00:00.000Z,28.18,-,6,-,-,,-,NaN,430623,岳阳水利(山洪),山洪,,长江,山洪预警,-,,,,,201911,5,洞庭湖,112.509985,湖南水文,29.572255,2023-04-14T05:12:17.000Z,WYZ,华容河,,,615H0220,岳阳市华容县万庾镇,万庾,ZZ,1,5
2023-04-16T08:00:00.000Z,34.19,-,6,-,-,,-,NaN,430723,常德水利(山洪),山洪,,长江,山洪预警,-,,,假定,,201212,5,洞庭湖,111.855833,湖南水文,29.696694,2023-04-14T05:10:21.000Z,ZZXHQ,涔水,,,615H1002,常德市澧县涔澹蓄洪区合同铺村,涔澹蓄洪区,ZZ,1,5
2023-04-16T07:08:49.000Z,175.82,-,,-,-,,-,NaN,431322,娄底水利(山洪),山洪,,长江,山洪预警,-,,,假定,,201201,5,资水,111.3525,湖南水文,27.785556,2023-04-14T05:11:30.000Z,EL,青峰河,,,612H5021,娄底市新化县桑梓镇俄龙村,俄龙,ZZ,1,2
2023-04-16T08:00:00.000Z,390.99,-,6,-,-,,-,NaN,433123,湘西,水文,,长江,中小河流,97,,,85基准,,201601,3,沅水,109.458611,湖南水文,27.885,2023-04-14T05:11:56.000Z,HS,白泥江,,,613E0900,湘西州凤凰县新场乡合水村,合水,ZQ,1,3
2023-04-16T01:00:00.000Z,33.56,-,4,-,-,,-,NaN,430922,益阳,水文,,长江,防汛站,-,,,,,201908,4,资水,112.111232,湖南水文,28.547021,2023-04-14T05:11:29.000Z,QFT,资水,,,612F1120,益阳市桃江县浮邱山乡泉峰滩村,泉峰滩,ZZ,1,2
2023-04-16T08:00:00.000Z,204.05,-,,-,-,,-,NaN,431022,郴州水利(山洪),山洪,201301,珠江,山洪预警,-,,,黄海,,201105,5,北江,112.816742,湖南水文,25.325222,2023-04-14T05:10:27.000Z,YXQ,武江,,,810G0360,郴州市宜章县梅田镇遇仙桥村,遇仙桥,ZZ,1,8
2023-04-16T08:00:00.000Z,168.10,27.2,,-,-,,-,NaN,431124,永州,水文,201310,长江,中小水基本雨,2560,11.0,,黄海,0.0,196301,2,湘江,111.777879,湖南水文,25.60834,2023-04-14T05:10:59.000Z,YX,宁远河,,1,61124600,永州市道县柑子园镇油湘村,油湘,ZZ,1,1
2023-04-16T08:00:00.000Z,0.00,-,6,-,-,,-,NaN,430104,长沙,内涝,,长江,防汛站,-,,,假定,,201606,4,湘江,112.940306,湖南水文,28.201111,2023-04-14T05:11:48.000Z,BYLBL,未知,,,611N1808,长沙市岳麓区枫林路白云路口,白云路北(涝),ZZ,1,1
2023-04-16T08:00:00.000Z,301.69,-,6,-,-,,-,NaN,430181,长沙,水文,,长江,中小河流,9,11.0,-1.882,冻结(85基准),,201501,3,湘江,113.715833,湖南水文,28.395833,2023-04-14T05:12:21.000Z,LQ,宝盖河,,,61115000,长沙市浏阳市古港镇宝盖寺村,炉前,ZZ,1,1
2023-04-16T08:00:00.000Z,260.83,-,4,-,-,,-,NaN,433123,湘西,水文,201310,长江,中小河流,780,41.6,,黄海,0.0,201305,3,沅水,109.718333,湖南水文,28.051667,2023-04-14T05:12:35.000Z,MJP,沱江,270.0,0,613E1720,湘西州凤凰县木江坪镇木江坪村,木江坪,ZZ,1,3
2023-04-16T08:00:00.000Z,45.05,202,5,-,50.83,2002-08-07T16:00:00.000Z,-,-5.78,431129,永州,水文,195906,长江,基本站,2469,225.0,174.673,冻结(黄海),,195906,1,湘江,111.666667,湖南水文,25.166667,2023-04-14T05:11:49.000Z,ZTH,潇水沱江,,0,61103200,永州市江华县东田镇水东村,涔天河,ZQ,1,1
2023-04-16T08:00:00.000Z,279.01,-,6,-,-,,-,NaN,422828,常德,水文,,长江,防汛站,2186,178.0,,黄海,,202005,4,澧水,110.39346,湖南水文,29.748,2023-04-14T05:12:16.000Z,JPH,溇水,1.0,,61401620,湖北省恩施州鹤峰县走马镇,江坪河,ZQ,1,4
2023-04-16T08:00:00.000Z,26.02,-,6,-,-,,-,NaN,360502,宜春水文局,,,长江,江西水文,-,,,,,,5,赣江,115.393333,江西水文,27.877777,2020-05-22T02:22:55.000Z,LWZ,南安河,,0,62338190,江西省新余市渝水区新溪乡龙尾洲村,龙尾洲,ZZ,1,8
2023-04-16T08:00:00.000Z,42.78,-,6,-,-,,-,NaN,430922,益阳水利(山洪),山洪,201511,长江,山洪预警,-,,,85基准,,201509,5,资水,112.033056,湖南水文,28.591944,2023-04-14T05:11:49.000Z,XS,资水,,,612H2107,益阳市桃江县修山电站,修山,ZZ,1,2
2023-04-16T08:00:00.000Z,185.01,12,6,-,-,,-,NaN,431124,永州,水文,,长江,中小河流,178,16.0,,黄海,,201607,3,湘江,111.532496,湖南水文,25.514167,2023-04-14T05:12:37.000Z,YJ,濂溪河,,,611E0405,永州市道县营江乡芒头寨村,营江,ZQ,1,1
2023-04-16T08:00:00.000Z,28.13,-,6,-,-,,-,NaN,430611,岳阳水文,水文,202007,长江,防汛站,-,,,,,202007,4,洞庭湖,112.4856,湖南水文,29.3204,2023-04-14T05:11:31.000Z,HHYHD,华洪运河,,,615F0054,岳阳市君山区许市渔场华洪运河东,华洪运河东,ZZ,1,5
2023-04-16T08:00:00.000Z,59.47,4.4,6,-,-,,-,NaN,430381,湘潭,水文,,长江,中小河流,150,10.0,,假定,,201612,3,湘江,112.361611,湖南水文,27.775861,2023-04-14T05:11:10.000Z,YS,石狮江,,,611E2545,湘潭市湘乡市月山镇石矶村,月山,ZQ,1,1
2023-04-16T08:00:00.000Z,34.39,-,,-,-,,-,NaN,430111,长沙,水文,,长江,中小河流,120,5.0,,85基准,,201601,3,湘江,113.023333,湖南水文,28.156389,2023-04-14T05:11:45.000Z,GT,圭塘河,,,611E2822,长沙市雨花区奎塘办事处,圭塘,ZQ,1,1
2023-04-16T08:00:00.000Z,327.79,-,6,-,-,,-,NaN,430225,株洲,水文,201310,长江,中小河流,-,,,假定,0.0,201305,3,湘江,113.805,湖南水文,26.323333,2023-04-14T05:12:40.000Z,SX,河漠水,,0,611E1800,株洲市炎陵县水口镇水西村,水西,ZZ,1,1
2023-04-16T08:00:00.000Z,86.29,19.8,4,-,93.32,2007-08-20T16:00:00.000Z,-,-7.03,430225,株洲,水文,,长江,基本站,814,13.0,110.484,冻结(黄海),,195901,1,湘江,113.736778,湖南水文,26.485361,2023-04-14T05:11:07.000Z,YL,河漠水,,1,61110900,株洲市炎陵县霞阳镇蔬菜村,炎陵,ZQ,1,1
2023-04-16T08:00:00.000Z,91.55,-,6,-,-,,-,NaN,430225,株洲,水文,,长江,中小河流,-,,,假定,,201601,3,湘江,113.864722,湖南水文,26.577222,2023-04-14T05:12:17.000Z,ZD,沔水,,,611E1855,株洲市炎陵县沔渡镇沔渡村,沔渡,ZQ,1,1
2023-04-16T08:00:00.000Z,1.91,0.3,6,-,5.63,2014-06-18T16:00:00.000Z,-,-3.72,431221,怀化,水文,,长江,基本站,72,37.5,195.284,冻结(黄海),,198001,1,沅水,110.166667,湖南水文,27.7,2023-04-14T05:12:13.000Z,HQ,龙门河,,0,61310900,怀化市中方县花桥镇花桥村,花桥,ZQ,1,3
