流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
长江,61314400,湖南省,猛洞河,永顺,2023-04-16 14:00:00,192.26,0,196.43
长江,61400100,湖南省,澧水(北源),凉水口,2023-04-16 14:00:00,281.89,8,0.0
长江,61400300,湖南省,澧水,桑植(三),2023-04-16 14:00:00,248.32,32,256.5
长江,61400400,湖南省,澧水,张家界,2023-04-16 14:00:00,156.6,69,163.0
长江,61400600,湖南省,澧水,篢子头,2023-04-16 14:00:00,102.78,0,0.0
长江,61400900,湖南省,澧水,石门,2023-04-16 14:00:00,50.79,177,58.5
长江,61401300,湖南省,澧水,津市(二),2023-04-16 14:00:00,30.23,0,41.0
长江,61401650,湖南省,溇水,淋溪河,2023-04-16 14:00:00,220.24,2,0.0
长江,61402000,湖南省,溇水,长潭河,2023-04-16 14:00:00,91.23,33,99.65
长江,61402100,湖南省,溹水,双枫潭,2023-04-16 14:00:00,177.95,5,0.0
长江,61402400,湖南省,渫水,皂市(二),2023-04-16 14:00:00,76.13,170,0.0
长江,61500300,湖北省,松滋河(西支),新江口,2023-04-16 14:00:00,35.69,136,44.0
长江,61501200,湖北省,松滋河(东支),沙道观(二),2023-04-16 14:00:00,33.99,0,44.0
长江,61501500,湖北省,虎渡河,弥陀寺(二),2023-04-16 14:00:00,31.91,0,43.0
长江,61501600,湖北省,虎渡河,黄山头(闸上),2023-04-16 14:00:00,31.9,0,39.0
长江,61501601,湖北省,虎渡河,黄山头(闸下),2023-04-16 14:00:00,30.43,0,38.0
长江,61501800,湖北省,安乡河,藕池(康三),2023-04-16 14:00:00,31.9,0,38.5
长江,61502200,湖北省,藕池河,藕池(管),2023-04-16 14:00:00,28.6,0,38.5
长江,61503010,湖南省,藕池河(北支),南县(罗文窖),2023-04-16 14:00:00,26.09,0,35.5
长江,61503800,湖南省,澧水,石龟山,2023-04-16 14:00:00,29.62,191,38.5
长江,61505000,湖南省,松滋河(西支),官垸,2023-04-16 14:00:00,30.17,0,39.5
长江,61505300,湖南省,松滋河(中支),自治局(三),2023-04-16 14:00:00,29.71,0,39.0
长江,61505900,湖南省,松虎合流,安乡,2023-04-16 14:00:00,29.4,205,37.0
长江,61506500,湖南省,沅江,牛鼻滩,2023-04-16 14:00:00,31.13,0,0.0
