2021-01-01,河名,站名,水位,流量,含沙量
2021-01-06,黄河                          ,巴彦高勒                      ,1051.78,513,-
2021-01-06,黄河                          ,三湖河口                      ,1018.18,692,-
2021-01-06,黄河                          ,包头                          ,1003.31,635,-
2021-01-06,黄河                          ,头道拐                        ,988.55,641,-
2021-01-06,黄河                          ,万家寨蓄水量,969.07,(2.93)亿,-
2021-01-06,黄河                          ,万家寨上出库,-,813,-
2021-01-06,黄河                          ,万家寨下                      ,899.73,813,-
2021-01-06,黄河                          ,府谷                          ,807.4,560,-
2021-01-06,黄河                          ,吴堡                          ,636.48,842,-
2021-01-06,黄河                          ,龙门                          ,377.45,557,-
2021-01-06,汾河                          ,河津                          ,369.91,4.62,-
2021-01-06,北洛河                        ,状头                          ,360.35,0.649,-
2021-01-06,泾河                          ,张家山                        ,420.08,31.9,-
2021-01-06,渭河                          ,咸阳                          ,376.56,55.6,-
2021-01-06,渭河                          ,华县                          ,334.17,147,-
2021-01-06,黄河                          ,潼关                          ,325.76,700,-
2021-01-06,黄河                          ,史家滩蓄水量,316.65,(4.63)亿,-
2021-01-06,黄河                          ,三门峡                        ,274.44,1090,-
2021-01-06,黄河                          ,小浪底上蓄水量,263.46,(65.9)亿,-
2021-01-06,黄河                          ,小浪底                        ,133.72,346,*299
2021-01-06,伊河                          ,东湾                          ,-,-,-
2021-01-06,伊河                          ,陆浑坝上蓄水量,314.2,(4.68)亿,-
2021-01-06,伊河                          ,陆浑坝上出库,-,-,-
2021-01-06,伊河                          ,龙门镇                        ,147.39,10,-
2021-01-06,洛河                          ,卢氏                          ,-,-,-
2021-01-06,洛河                          ,故县水库蓄水量,526.91,(5.02)亿,-
2021-01-06,洛河                          ,故县水库出库,-,-,-
2021-01-06,洛河                          ,长水（二）                    ,377.86,1.80,-
2021-01-06,洛河                          ,白马寺                        ,112.95,18.8,-
2021-01-06,伊洛河                        ,黑石关                        ,104.95,48.9,-
2021-01-06,丹河                          ,山路坪                        ,-,-,-
2021-01-06,沁河                          ,五龙口                        ,-,-,-
2021-01-06,沁河                          ,武陟                          ,98.21,1.81,-
2021-01-06,黄河                          ,花园口                        ,88.28,447,*1.27
2021-01-06,黄河                          ,夹河滩                        ,71.1,484,*2
2021-01-06,黄河                          ,高村                          ,57.34,435,*3.84
2021-01-06,黄河                          ,孙口                          ,42.64,425,*3.70
2021-01-06,大汶河                        ,戴村坝,-,-,-
2021-01-06,东平湖                        ,东平湖老湖蓄水量,41.47,(5.29)亿,-
2021-01-06,大汶河                        ,出湖闸,-,-,-
2021-01-06,黄河                          ,艾山                          ,35.69,323,*3.23
2021-01-06,黄河                          ,泺口                          ,24.28,434,*4.06
2021-01-06,黄河                          ,利津                          ,8.94,444,*4.25
2021-01-07,黄河                          ,唐乃亥                        ,2670.64,262,-
2021-01-07,黄河                          ,龙羊峡入库,-,261,-
2021-01-07,黄河                          ,龙羊峡蓄水量,2597.96,(234)亿,-
2021-01-07,黄河                          ,龙羊峡出库,-,508,-
2021-01-07,黄河                          ,刘家峡入库,-,662,-
2021-01-07,黄河                          ,刘家峡蓄水量,1728.41,(31.5)亿,-
2021-01-07,黄河                          ,刘家峡出库,-,577,-
2021-01-07,黄河                          ,兰州                          ,1510.99,877,-
2021-01-07,黄河                          ,下河沿                        ,1229.84,904,-
2021-01-07,黄河                          ,石嘴山                        ,1087.8,480,-
2021-01-07,黄河                          ,巴彦高勒                      ,1051.51,555,-
2021-01-07,黄河                          ,三湖河口                      ,1018.25,720,-
2021-01-07,黄河                          ,包头                          ,1003.3,605,-
2021-01-07,黄河                          ,头道拐                        ,988.45,631,-
2021-01-07,黄河                          ,万家寨蓄水量,969.01,(2.92)亿,-
2021-01-07,黄河                          ,万家寨上出库,-,795,-
2021-01-07,黄河                          ,万家寨下                      ,899.71,795,-
2021-01-07,黄河                          ,府谷                          ,807.44,574,-
2021-01-07,黄河                          ,吴堡                          ,636.26,678,-
2021-01-07,黄河                          ,龙门                          ,377.71,800,-
2021-01-07,汾河                          ,河津                          ,371.15,31.6,-
2021-01-07,北洛河                        ,状头                          ,360.71,12,-
2021-01-07,泾河                          ,张家山                        ,420.02,27.5,-
2021-01-07,渭河                          ,咸阳                          ,376.55,54.3,-
2021-01-07,渭河                          ,华县                          ,334.22,154,-
2021-01-07,黄河                          ,潼关                          ,325.66,660,-
2021-01-07,黄河                          ,史家滩蓄水量,316.97,(4.90)亿,-
2021-01-07,黄河                          ,三门峡                        ,274.08,849,-
2021-01-07,黄河                          ,小浪底上蓄水量,263.55,(66.2)亿,-
2021-01-07,黄河                          ,小浪底                        ,133.3,140,*299
2021-01-07,伊河                          ,东湾                          ,-,-,-
2021-01-07,伊河                          ,陆浑坝上蓄水量,314.18,(4.67)亿,-
2021-01-07,伊河                          ,陆浑坝上出库,-,-,-
