日期,站名,时间,水位,流量
2023-02-06,太平,02-04 08:00,33.970,72.900
2023-02-06,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-06,南宁（三）,02-04 08:00,67.050,383.000
2023-02-06,贵港,02-04 08:00,31.240,282.000
2023-02-06,石角,02-04 08:00,0.620,320.000
2023-02-06,天河(二),02-04 08:00,0.860,2360.000
2023-02-06,冯马庙(二),02-04 08:00,0.440,-
2023-02-06,大虎,02-04 08:00,0.300,-
2023-02-07,迁江,02-04 08:00,59.670,503.000
2023-02-07,武宣,02-04 08:00,51.770,1520.000
2023-02-07,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-07,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-07,高要,02-04 08:00,0.570,-433.000
2023-02-07,柳州,02-04 08:00,77.000,143.000
2023-02-07,对亭,02-04 08:00,71.570,20.500
2023-02-07,太平,02-04 08:00,33.970,72.900
2023-02-07,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-07,南宁（三）,02-04 08:00,67.050,383.000
2023-02-07,贵港,02-04 08:00,31.240,282.000
2023-02-07,石角,02-04 08:00,0.620,320.000
2023-02-07,天河(二),02-04 08:00,0.860,2360.000
2023-02-07,冯马庙(二),02-04 08:00,0.440,-
2023-02-07,大虎,02-04 08:00,0.300,-
2023-02-14,迁江,02-14 08:00,59.61,546
2023-02-14,梧州（四）,02-14 08:00,2.05,1710
2023-02-14,高要,02-14 08:00,-0.17,3440
2023-02-14,柳州,02-14 08:00,77.67,189
2023-02-14,金鸡（二）,02-14 08:00,25.72,8
2023-02-14,南宁（三）,02-14 08:00,66.93,446
2023-02-14,贵港,02-14 08:00,31.46,166
2023-02-14,石角,02-14 08:00,-0.24,796
2023-02-15,迁江,02-04 08:00,59.670,503.000
2023-02-15,武宣,02-04 08:00,51.770,1520.000
2023-02-15,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-15,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-15,高要,02-04 08:00,0.570,-433.000
2023-02-15,柳州,02-04 08:00,77.000,143.000
2023-02-15,对亭,02-04 08:00,71.570,20.500
2023-02-15,太平,02-04 08:00,33.970,72.900
2023-02-15,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-15,南宁（三）,02-04 08:00,67.050,383.000
2023-02-15,贵港,02-04 08:00,31.240,282.000
2023-02-15,石角,02-04 08:00,0.620,320.000
2023-02-15,天河(二),02-04 08:00,0.860,2360.000
2023-02-15,冯马庙(二),02-04 08:00,0.440,-
2023-02-15,大虎,02-04 08:00,0.300,-
2023-02-16,迁江,02-04 08:00,59.670,503.000
2023-02-16,武宣,02-04 08:00,51.770,1520.000
2023-02-16,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-16,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-16,高要,02-04 08:00,0.570,-433.000
2023-02-16,柳州,02-04 08:00,77.000,143.000
2023-02-16,对亭,02-04 08:00,71.570,20.500
2023-02-16,太平,02-04 08:00,33.970,72.900
2023-02-16,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-16,南宁（三）,02-04 08:00,67.050,383.000
2023-02-16,贵港,02-04 08:00,31.240,282.000
2023-02-16,石角,02-04 08:00,0.620,320.000
2023-02-16,天河(二),02-04 08:00,0.860,2360.000
2023-02-16,冯马庙(二),02-04 08:00,0.440,-
2023-02-16,大虎,02-04 08:00,0.300,-
2023-02-17,迁江,02-04 08:00,59.670,503.000
2023-02-17,武宣,02-04 08:00,51.770,1520.000
2023-02-17,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-17,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-17,高要,02-04 08:00,0.570,-433.000
2023-02-17,柳州,02-04 08:00,77.000,143.000
2023-02-17,对亭,02-04 08:00,71.570,20.500
2023-02-17,太平,02-04 08:00,33.970,72.900
2023-02-17,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-17,南宁（三）,02-04 08:00,67.050,383.000
2023-02-17,贵港,02-04 08:00,31.240,282.000
2023-02-17,石角,02-04 08:00,0.620,320.000
2023-02-17,天河(二),02-04 08:00,0.860,2360.000
2023-02-17,冯马庙(二),02-04 08:00,0.440,-
2023-02-17,大虎,02-04 08:00,0.300,-
2023-02-18,迁江,02-04 08:00,59.670,503.000
2023-02-18,武宣,02-04 08:00,51.770,1520.000
2023-02-18,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-18,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-18,高要,02-04 08:00,0.570,-433.000
2023-02-18,柳州,02-04 08:00,77.000,143.000
2023-02-18,对亭,02-04 08:00,71.570,20.500
2023-02-18,太平,02-04 08:00,33.970,72.900
2023-02-18,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-18,南宁（三）,02-04 08:00,67.050,383.000
2023-02-18,贵港,02-04 08:00,31.240,282.000
2023-02-18,石角,02-04 08:00,0.620,320.000
2023-02-18,天河(二),02-04 08:00,0.860,2360.000
2023-02-18,冯马庙(二),02-04 08:00,0.440,-
2023-02-18,大虎,02-04 08:00,0.300,-
2023-02-19,迁江,02-19 08:00,59.90,604
2023-02-19,梧州（四）,02-19 08:00,2.73,2210
2023-02-19,高要,02-19 08:00,0.43,5680
2023-02-19,柳州,02-19 08:00,77.61,296
2023-02-19,金鸡（二）,02-19 08:00,26.19,12
2023-02-19,南宁（三）,02-19 08:00,66.94,488
2023-02-19,贵港,02-19 08:00,31.43,653
2023-02-19,石角,02-19 08:00,-0.95,440
2023-02-20,迁江,02-04 08:00,59.670,503.000
2023-02-20,武宣,02-04 08:00,51.770,1520.000
2023-02-20,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-20,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-20,高要,02-04 08:00,0.570,-433.000
2023-02-20,柳州,02-04 08:00,77.000,143.000
2023-02-20,对亭,02-04 08:00,71.570,20.500
2023-02-20,太平,02-04 08:00,33.970,72.900
2023-02-20,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-20,南宁（三）,02-04 08:00,67.050,383.000
2023-02-20,贵港,02-04 08:00,31.240,282.000
2023-02-20,石角,02-04 08:00,0.620,320.000
2023-02-20,天河(二),02-04 08:00,0.860,2360.000
2023-02-20,冯马庙(二),02-04 08:00,0.440,-
2023-02-20,大虎,02-04 08:00,0.300,-
2023-02-21,迁江,02-04 08:00,59.670,503.000
2023-02-21,武宣,02-04 08:00,51.770,1520.000
2023-02-21,大湟江口(二),02-04 08:00,20.570,1920.000
2023-02-21,梧州（四）,02-04 08:00,2.100,1820.000
2023-02-21,高要,02-04 08:00,0.570,-433.000
2023-02-21,柳州,02-04 08:00,77.000,143.000
2023-02-21,对亭,02-04 08:00,71.570,20.500
2023-02-21,太平,02-04 08:00,33.970,72.900
2023-02-21,金鸡（二）,02-04 08:00,27.350,28.000
2023-02-21,南宁（三）,02-04 08:00,67.050,383.000
2023-02-21,贵港,02-04 08:00,31.240,282.000
2023-02-21,石角,02-04 08:00,0.620,320.000
2023-02-21,天河(二),02-04 08:00,0.860,2360.000
2023-02-21,冯马庙(二),02-04 08:00,0.440,-
2023-02-21,大虎,02-04 08:00,0.300,-
