时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-26T08:00:00.000Z,221.59,,,247.26,227.38,3,-,,222.0,-0.41,430523,,2,资水,111.2986,27.08606,资水,612K0333,邵阳市邵阳县小溪市乡,孔雀滩,RR,2
2023-04-26T00:00:00.000Z,192.08,7.48,4,25.00,25.00,3,-,,192.5,-0.42,431225,,2,沅水,109.99,27.00222,巫水,613K1307,怀化市会同县若水镇,若水,RR,3
2023-04-26T08:00:00.000Z,197.56,,,179.78,246.45,4,-,,198.0,-0.44,430522,,2,资水,111.7336,27.08333,资水,612K0212,邵阳市新邵县坪上镇,筱溪,RR,2
2023-04-26T00:00:00.000Z,273.00,8.95,4,14.00,13.00,3,-,,273.5,-0.50,433125,,2,沅水,109.6938,28.60397,涂乍河,613K0409,湘西州保靖县水银乡,长潭,RR,3
2023-04-26T00:00:00.000Z,145.45,19.6,5,35.00,40.00,3,-,,146.0,-0.55,431224,,2,沅水,110.4485,27.86875,溆水,613K1218,怀化市溆浦县小江口乡,银珍,RR,3
2023-04-26T00:00:00.000Z,244.45,13.126,5,4.42,-,3,-,,245.0,-0.55,431225,,2,沅水,109.9944,26.83222,巫水,613K1305,怀化市会同县王家坪乡,小洪,RR,3
2023-04-26T00:00:00.000Z,207.60,14.6,5,30.00,-,3,210.05,2008-07-22T00:00:00.000Z,208.2,-0.60,430726,716.0,2,澧水,110.866417,29.922861,渫水,61402230,常德市石门县所街乡,张家渡,RR,4
2023-04-26T00:00:00.000Z,165.38,18.03,5,55.00,35.00,3,-,,166.0,-0.62,430224,1784.0,2,湘江,113.619389,26.552944,洣水,611K1615,株洲市茶陵县浣溪镇,青年,RR,1
2023-04-26T00:00:00.000Z,36.29,9.23,5,0.30,-,3,-,,36.97,-0.68,430112,17.0,2,湘江,112.690222,28.413278,沩水,611K1903,长沙市望城区格塘乡,格塘,RR,1
2023-04-26T08:00:00.000Z,166.24,9.92,,-,-,3,168.7,2014-05-24T16:00:00.000Z,167.0,-0.76,360322,,5,湘江,113.9495,27.928611,栗水,61112680,江西省萍乡市上栗县桐木镇枣木村,枣木水库,RR,1
2023-04-26T00:00:00.000Z,256.22,24.72,5,16.00,80.00,3,-,,257.0,-0.78,433124,2151.0,2,沅水,109.471944,28.595278,花垣河,613K0307,湘西州花垣县花垣镇,竹篙滩,RR,3
2023-04-26T00:00:00.000Z,91.76,5.76,5,-,-,3,-,,92.7,-0.94,430381,,2,湘江,112.3658,27.57886,虞塘河,611K2630,湘潭市湘乡市虞唐镇,赤石,RR,1
2023-04-26T00:00:00.000Z,138.00,4.67,6,-,-,2,-,,139.0,-1.00,430626,73.0,2,洞庭湖,113.752139,28.707694,恩溪河,615K0411,岳阳市平江县三市镇,尧塘,RR,5
2023-04-26T00:00:00.000Z,205.12,43.96,5,3.40,2.00,3,208.15,2002-06-15T16:00:00.000Z,206.2,-1.08,431028,165.0,2,湘江,113.491222,26.458194,莲花江,61111950,郴州市安仁县金紫仙镇,茶安,RR,1
2023-04-26T00:00:00.000Z,272.79,9.8,4,0.51,0.65,3,-,,273.89,-1.10,430224,14.0,2,湘江,113.868389,26.896028,茶水,611K1616,株洲市茶陵县秩堂镇,东坑,RR,1
2023-04-26T00:00:00.000Z,163.89,11.65,4,110.00,165.00,3,-,,165.0,-1.11,430802,,2,澧水,110.4513,29.12708,澧水,614K0003,张家界市永定区大庸桥街道,木龙滩,RR,4
2023-04-26T08:00:00.000Z,116.88,23.79,,659.73,551.40,3,-,,118.0,-1.12,431222,,2,沅水,110.3503,28.62722,酉水,613K1013,怀化市沅陵县明溪口镇,高滩,RR,3
2023-04-26T00:00:00.000Z,94.22,8.19,5,3.07,1.45,3,-,,95.4,-1.18,430181,,2,湘江,113.430611,28.392778,捞刀河,611K2013,长沙市浏阳市赤马镇横山头水库,横山头,RR,1
2023-04-26T00:00:00.000Z,178.00,2.18,6,-,-,2,-,,179.25,-1.25,430626,41.0,2,洞庭湖,114.073333,28.818056,汨罗江,615K0406,岳阳市平江县龙门镇,碧源堰,RR,5
2023-04-26T08:00:00.000Z,67.14,,,-,-,4,71.85,1982-06-18T16:00:00.000Z,68.5,-1.36,360502,3900.0,1,赣江,114.8257,27.7362,袁水,62311050,江西省新余市渝水区仙女湖区河下镇江口村,江口水库,RR,8
2023-04-26T00:00:00.000Z,421.00,1.55,4,-,-,2,-,,422.4,-1.40,431023,11.0,2,湘江,112.749417,26.117611,九山河,611K0607,郴州市永兴县油麻镇,马头江,RR,1
2023-04-26T00:00:00.000Z,48.54,7.203,5,0.37,-,3,53.8,1998-07-31T16:00:00.000Z,50.0,-1.46,430903,16.0,2,资水,112.3675,28.563611,梓山村水库干渠,61206200,益阳市赫山区赫山街道,梓山村,RR,2
2023-04-26T00:00:00.000Z,29.57,24.417,4,-,-,3,-,,31.03,-1.46,430981,103.0,2,洞庭湖,112.298944,28.794639,白沙长河,615K2441,益阳市沅江市三眼塘镇,胭包山,RR,5
2023-04-26T08:00:00.000Z,208.54,,,182.11,228.94,3,-,,210.0,-1.46,431226,,2,沅水,109.5525,27.73458,辰水,613K1418,怀化市麻阳苗族自治县锦和镇,铜信溪,RR,3
2023-04-26T08:00:00.000Z,127.02,209.2,,154.78,238.11,4,130.13,1985-05-31T16:00:00.000Z,128.5,-1.48,431021,5409.0,1,湘江,112.686934,26.0965,舂陵水,61105650,郴州市桂阳县桥市乡,欧阳海,RR,1
2023-04-26T08:00:00.000Z,107.96,2.4,5,-,-,2,-,,109.46,-1.50,360313,,5,湘江,113.683056,27.433889,清水江,611R8100,江西省萍乡市湘东区东桥镇东桥村,南干口水库,RR,1
2023-04-26T00:00:00.000Z,306.40,0.76,5,-,-,2,-,,308.0,-1.60,431021,2.0,2,湘江,112.748889,25.750556,西河,611K0555,郴州市桂阳县鹿峰街道,塔背,RR,1
2023-04-26T00:00:00.000Z,90.90,8.87,6,-,-,3,-,,92.5,-1.60,430203,19.0,2,湘江,113.257,27.843056,枫溪港,611K1451,株洲市芦淞区大京管委会,大京,RR,1
2023-04-26T00:00:00.000Z,77.40,7.25,5,0.35,-,3,-,,79.0,-1.60,430121,,2,湘江,113.393611,28.536222,金井河,611K1841,长沙市长沙县金井镇,金井,RR,1
2023-04-26T00:00:00.000Z,93.90,7.68,5,120.00,90.00,3,-,,95.5,-1.60,430821,6201.0,2,澧水,111.075778,29.411944,澧水,614K2521,张家界市慈利县金慈街道茶庵村,茶庵,RR,4
2023-04-26T00:00:00.000Z,182.77,6.08,4,5.50,4.02,3,-,,184.5,-1.73,430181,46.0,2,湘江,113.791667,28.391389,大光溪,611K2024,长沙市浏阳市沿溪镇,富岭,RR,1
2023-04-26T00:00:00.000Z,248.55,7.69,4,5.40,6.00,3,253.5,2003-07-08T16:00:00.000Z,250.28,-1.73,430802,66.0,2,澧水,110.439306,29.088472,仙人溪,61401540,张家界市永定区南庄坪街道,仙人溪,RR,4
2023-04-26T00:00:00.000Z,257.76,47.0,4,31.00,37.00,3,-,,259.5,-1.74,431225,,2,沅水,109.6164,26.95611,渠水,613K1323,怀化市会同县朗江镇,朗江,RR,3
2023-04-26T00:00:00.000Z,1059.20,0.7,4,0.10,0.10,2,-,,1061.0,-1.80,431025,23.0,2,北江,112.426917,25.239278,武江,810K0102,郴州市临武县西山瑶族乡,分水坳,RR,8
2023-04-26T00:00:00.000Z,116.70,33.5,6,-,-,2,-,,118.6,-1.90,430626,3.0,3,洞庭湖,113.287139,28.759194,汨罗江,615K0410,岳阳市平江县伍市镇,马头,RR,5
2023-04-26T00:00:00.000Z,79.10,18.56,6,180.00,180.00,4,-,,81.0,-1.90,430821,,2,澧水,111.1833,29.49681,澧水,614K0219,张家界市慈利县苗市镇,茶林河,RR,4
2023-04-26T00:00:00.000Z,299.06,30.25,5,90.00,60.00,3,-,,301.0,-1.94,431228,,2,沅水,109.3957,27.39983,舞水,613K1618,怀化市芷江侗族自治县大洪山乡,春阳滩,RR,3
2023-04-26T08:00:00.000Z,27.91,,6,-,-,3,-,,30.0,-2.09,430623,,2,洞庭湖,112.5567,29.37153,西湖,615K0206,岳阳市华容县南山乡,北汊,RR,5
2023-04-26T00:00:00.000Z,338.40,16.8,6,15.00,15.00,3,-,,340.5,-2.10,430527,,2,沅水,110.231944,26.545,巫水,613K2610,邵阳市绥宁县关峡苗族乡,江口塘,RR,3
2023-04-26T00:00:00.000Z,149.00,3.99,5,4.00,1.20,2,-,,151.11,-2.11,430626,,2,洞庭湖,113.989167,28.671667,汨罗江,615K0407,岳阳市平江县长寿镇,黄金堰,RR,5
2023-04-26T00:00:00.000Z,282.80,8.45,5,3.70,3.50,3,286.69,2006-07-14T16:00:00.000Z,285.12,-2.32,431024,107.0,2,湘江,112.449556,25.530056,黄狮江,61106460,郴州市嘉禾县袁家镇,泮头,RR,1
2023-04-26T00:00:00.000Z,30.63,16.2,4,-,-,3,-,,33.0,-2.37,430921,55.0,2,洞庭湖,112.433083,29.361639,沱江,615K2340,益阳市南县乌嘴乡,三仙湖,RR,5
2023-04-26T00:00:00.000Z,48.73,4.823,4,-,-,3,-,,51.2,-2.47,430624,,2,洞庭湖,112.9829,28.76742,范家河,615K0311,岳阳市湘阴县东塘镇,赛美,RR,5
2023-04-26T00:00:00.000Z,78.00,5.4,5,1.00,0.50,3,-,,80.53,-2.53,430212,101.0,2,湘江,113.120583,27.303056,朱亭港,611K1506,株洲市渌口区朱亭镇,龙潭,RR,1
2023-04-26T00:00:00.000Z,101.82,6.82,4,5.00,5.00,3,-,,104.4,-2.58,431028,,2,湘江,113.3139,26.67108,永乐江,611K0855,郴州市安仁县永乐江镇,大石,RR,1
2023-04-26T00:00:00.000Z,166.55,10.86,5,2.73,1.46,3,-,,169.13,-2.58,430181,,2,湘江,113.623611,28.473333,捞刀河,611K2010,长沙市浏阳市社港镇关山水库,关山,RR,1
2023-04-26T00:00:00.000Z,431.40,7.17,6,7.80,7.80,3,-,,434.0,-2.60,431026,,2,湘江,113.5178,25.57156,浙水,611K0755,郴州市汝城县高桥镇,山店江,RR,1
2023-04-26T00:00:00.000Z,84.60,10.78,6,-,-,3,-,,87.2,-2.60,430682,,2,洞庭湖,113.5176,29.35256,游港河,615K0606,岳阳市临湘市忠防镇,忠防,RR,5
2023-04-26T00:00:00.000Z,115.08,4.936,5,0.33,0.05,3,-,,117.7,-2.62,430421,,2,湘江,112.3865,27.24278,柿竹水,611K1128,衡阳市衡阳县渣江镇,石狮堰,RR,1
2023-04-26T00:00:00.000Z,442.95,7.59,6,0.80,0.80,3,-,,445.6,-2.65,431229,60.0,2,沅水,109.512222,26.513333,地灵溪,613K1715,怀化市靖州苗族侗族自治县铺口乡,金麦,RR,3
2023-04-26T00:00:00.000Z,213.80,2.04,4,2.00,1.30,3,-,,216.5,-2.70,431023,45.0,2,湘江,112.810611,26.129111,九山河,611K0604,郴州市永兴县悦来镇,黄口堰,RR,1
2023-04-26T00:00:00.000Z,387.30,6.3,4,2.60,2.90,2,-,,390.0,-2.70,431081,716.0,2,湘江,113.478506,25.5712,浙水,611K0964,郴州市资兴市黄草镇,浙江,RR,1
2023-04-26T00:00:00.000Z,66.74,7.337,4,-,-,3,-,,69.5,-2.76,430602,2.0,2,洞庭湖,113.208611,29.359444,北港河,615K0010,岳阳市岳阳楼区金凤桥管理处,金凤,RR,5
2023-04-26T00:00:00.000Z,1261.73,7.886,5,2.80,1.50,3,-,,1264.53,-2.80,431022,,2,北江,112.9347,24.94639,南花溪,810K0006,郴州市宜章县莽山瑶族乡林子坪水库,林子坪,RR,8
