流域,站点编号,行政区,河名,站名,时间,水位(米),流量(米3/秒),警戒水位(米)
太湖,63202600,江苏省,大运河,丹阳,2023-05-03 14:00:00,3.39,0,5.6
太湖,63202750,江苏省,大运河（改线段）,常州(三),2023-05-03 14:00:00,3.37,0,4.3
太湖,63202850,江苏省,大运河,无锡南门,2023-05-03 14:00:00,3.35,0,0.0
太湖,63203000,江苏省,大运河,苏州（枫桥）,2023-05-03 14:00:00,3.12,0,4.0
太湖,63204250,江苏省,望虞河,甘露,2023-05-03 14:00:00,3.47,0,3.8
太湖,63204450,江苏省,白茆塘,常熟,2023-05-03 14:00:00,3.14,0,3.7
太湖,63204650,江苏省,阳澄湖,湘城,2023-05-03 14:00:00,3.07,0,3.7
太湖,63205150,江苏省,娄江,昆山,2023-05-03 14:00:00,2.94,0,3.7
太湖,63205350,江苏省,太浦河,平望,2023-05-03 14:00:00,2.83,0,3.9
太湖,63205400,江苏省,瓜泾港,瓜泾口,2023-05-03 14:00:00,2.93,0,0.0
长江流域太湖区,63300800,浙江省,杭嘉平运河,崇德,2023-05-03 14:00:00,1.02,0,1.86
长江流域太湖区,63301150,浙江省,杭嘉平运河,嘉兴,2023-05-03 14:00:00,0.87,0,1.46
长江流域太湖区,63301600,浙江省,杭嘉平运河,王江泾,2023-05-03 14:00:00,0.88,-34,1.36
长江流域太湖区,63303600,浙江省,运河,新市,2023-05-03 14:00:00,1.08,0,1.86
长江流域太湖区,63304800,浙江省,澜溪塘,乌镇,2023-05-03 14:00:00,0.97,0,1.56
长江流域太湖区,63305200,浙江省,頔塘,南浔,2023-05-03 14:00:00,1.03,0,1.66
长江流域太湖区,63306400,浙江省,下塘河,临平(下),2023-05-03 14:00:00,1.14,0,2.16
长江流域太湖区,63309200,浙江省,海盐塘,欤城,2023-05-03 14:00:00,0.89,0,1.46
太湖,63403500,江苏省,陈墓荡,陈墓(锦溪),2023-05-03 14:00:00,2.86,0,3.6
浙闽台河流,70100500,浙江省,衢江,衢州,2023-05-03 14:00:00,59.26,262,61.2
浙闽台河流,70100900,浙江省,兰江,兰溪,2023-05-03 14:00:00,22.82,128,28.0
浙闽台河流,70101501,浙江省,富春江,富春江坝下,2023-05-03 14:00:00,4.02,0,0.0
浙闽台河流,70108400,浙江省,金华江,金华,2023-05-03 14:00:00,30.41,100,35.5
钱塘江,70111200,安徽省,新安江,屯溪,2023-05-03 14:00:00,122.17,0,124.8
浙闽台河流,70112001,浙江省,新安江,新安江坝下,2023-05-03 14:00:00,22.84,0,0.0
钱塘江,70113600,安徽省,练江,渔梁,2023-05-03 14:00:00,110.56,14,114.5
浙闽台河流,70115250,浙江省,分水江,分水江,2023-05-03 14:00:00,17.0,0,23.0
浙闽台河流,70117700,浙江省,浦阳江,诸暨（浣纱桥）,2023-05-03 14:00:00,7.83,0,10.64
浙闽台河流,70117800,浙江省,浦阳江,湄池,2023-05-03 14:00:00,3.88,-3,8.2
浙闽台河流,70200800,浙江省,曹娥江,嵊州,2023-05-03 14:00:00,14.32,0,16.1
浙闽台河流,70400800,浙江省,永安溪,柏枝岙,2023-05-03 14:00:00,9.07,0,17.0
闽江,70900110,福建省,西溪,宁化,2023-05-03 14:00:00,312.14,0,314.5
闽江,70900601,福建省,沙溪,永安,2023-05-03 14:00:00,157.74,315,163.0
闽江,70900800,福建省,沙溪,梅列,2023-05-03 14:00:00,125.58,0,127.0
闽江,70900900,福建省,沙溪,沙县,2023-05-03 14:00:00,102.92,175,106.5
闽江,71000400,福建省,富屯溪,邵武,2023-05-03 14:00:00,189.02,0,189.8
闽江,71000600,福建省,富屯溪,拿口,2023-05-03 14:00:00,157.43,0,0.0
闽江,71000900,福建省,富屯溪,洋口,2023-05-03 14:00:00,106.29,352,109.3
闽江,71010300,福建省,金溪,建宁,2023-05-03 14:00:00,290.29,0,291.5
闽江,71010600,福建省,金溪,将乐,2023-05-03 14:00:00,143.18,153,147.0
闽江,71100600,福建省,南浦溪,水吉,2023-05-03 14:00:00,137.52,79,141.0
闽江,71100900,福建省,建溪,七里街,2023-05-03 14:00:00,88.94,399,97.0
闽江,71104000,福建省,建溪,建阳,2023-05-03 14:00:00,126.52,144,131.0
闽江,71110400,福建省,建溪,武夷山,2023-05-03 14:00:00,200.31,23,202.0
闽江,71111400,福建省,麻阳溪,麻沙,2023-05-03 14:00:00,185.92,26,188.3
闽江,71111500,福建省,松溪,松溪,2023-05-03 14:00:00,186.52,28,188.8
闽江,71111700,福建省,松溪,东游,2023-05-03 14:00:00,125.7,11,129.5
闽江,71112002,福建省,七星溪,政和,2023-05-03 14:00:00,196.01,10,198.3
闽江,71200200,福建省,闽江,延福门,2023-05-03 14:00:00,58.79,0,68.5
闽江,71200500,福建省,闽江,竹岐,2023-05-03 14:00:00,2.22,0,9.8
闽江,71200600,福建省,闽江,文山里,2023-05-03 14:00:00,1.66,0,0.0
闽江,71210202,福建省,尤溪,大田,2023-05-03 14:00:00,352.96,4,355.0
