LGTD,LTTD,站点编号,时间,站名,zr,ymdh,dyrn,z,保证水位,dwz,河名,avq,hnnm,w,detaz,unitname,damel,iymdh,fymdh,q,警戒水位,sttp,obhtztm,frgrd,obhtz
117.442000,26.702000,71010600,2023-04-27 22,将乐,143.44,,,143.44,151.00,,浙闽台河流,,闽江上游区富屯溪,,,,154.24,,,268.000,147.00,河道,2002-06-16 00:00:00,,154.500
117.436980,26.697700,71010610,2023-04-27 22,范厝水库,160.45,,,160.45,161.00,,浙闽台河流,,闽江上游区富屯溪,,,,164.00,,,,161.00,水库,,,
117.683000,26.816000,71010720,2023-04-27 22,谟武水库,133.36,,,133.36,135.30,,浙闽台河流,,闽江上游区富屯溪,,,,,,,,133.50,水库,,,
117.100000,27.055000,71010960,2023-04-27 22,水埠水库,670.93,,,670.93,682.70,,浙闽台河流,,闽江上游区富屯溪,,,,680.60,,,,680.60,水库,,,
116.725560,26.731940,71010971,2023-04-27 22,沙洲头,321.56,,,321.56,,,浙闽台河流,,闽江上游区富屯溪,,,,,,,,,河道,,,
117.006100,26.404900,71010980,2023-04-27 22,泉上水库,460.55,,,460.55,466.25,,浙闽台河流,,闽江上游区富屯溪,,,,469.00,,,,463.50,水库,,,
117.345300,26.486000,71010990,2023-04-27 22,小王水库,269.23,,,269.23,278.35,,浙闽台河流,,闽江上游区富屯溪,,,,279.55,,,,274.05,水库,,,
117.060000,26.438330,71011005,2023-04-27 22,盖洋,382.06,,,382.06,,,浙闽台河流,,闽江上游区沙溪,,,,,,,,,河道,,,
118.534000,27.918000,71100200,2023-04-27 22,浦城,222.92,,,222.92,227.00,,浙闽台河流,,闽江上游区建溪,,,,229.82,,,,225.00,河道,1992-07-04 00:00:00,,229.950
118.582000,27.706000,71100330,2023-04-27 22,管潭,190.15,,,190.15,,,浙闽台河流,,闽江上游区建溪,,,,,,,,,河道,1998-06-22 00:00:00,,199.330
118.336000,27.420000,71100600,2023-04-27 22,水吉,137.62,,,137.62,,,浙闽台河流,,闽江上游区建溪,,,,147.81,,,96.400,141.00,河道,1998-06-22 00:00:00,,147.320
118.273000,27.073000,71100770,2023-04-27 22,北津水库,106.99,,,106.99,108.87,,浙闽台河流,,闽江上游区建溪,,,,115.00,,,,108.00,水库,,,
118.304000,27.023000,71100900,2023-04-27 22,七里街,89.42,,,89.42,99.50,,浙闽台河流,,闽江上游区建溪,,,,103.60,,,590.000,97.00,河道,1998-06-22 19:30:00,,106.230
118.123000,27.326000,71104000,2023-04-27 22,建阳,126.56,,,126.56,133.20,,浙闽台河流,,闽江上游区建溪,,,,135.00,,,158.000,131.00,河道,2010-06-20 00:00:00,,135.420
118.609000,28.089000,71110060,2023-04-27 22,东坑水库,348.34,,,348.34,362.40,,浙闽台河流,,闽江上游区建溪,,,,364.90,,,,360.00,水库,,,
118.350000,27.983000,71110090,2023-04-27 22,龙岭下水库,380.46,,,380.46,396.26,,浙闽台河流,,闽江上游区建溪,,,,397.00,,,,394.00,水库,,,
118.076000,27.784000,71110260,2023-04-27 22,东溪水库,256.96,,,256.96,266.05,,浙闽台河流,,闽江上游区建溪,,,,269.10,,,,264.50,水库,,,
118.032000,27.752000,71110400,2023-04-27 22,武夷山,200.29,,,200.29,204.00,,浙闽台河流,,闽江上游区建溪,,,,205.46,,,19.400,202.00,河道,1992-07-04 00:00:00,,205.140
117.832000,27.391000,71111400,2023-04-27 22,麻沙,185.78,,,185.78,,,浙闽台河流,,闽江上游区建溪,,,,189.33,,,15.400,188.30,河道,1982-06-18 00:00:00,,190.220
119.118930,27.621330,71111480,2023-04-27 22,兰溪桥水库,398.70,,,398.70,,,浙闽台河流,,闽东沿海诸河,,,,428.50,,,,420.00,水库,,,
119.071390,27.625280,71111490,2023-04-27 22,庆元城东,354.72,,,354.72,,,浙闽台河流,,闽东沿海诸河,,,,,,,,,河道,,,
118.782000,27.524000,71111500,2023-04-27 22,松溪,186.77,,,186.77,192.20,,浙闽台河流,,闽江上游区建溪,,,,193.40,,,101.000,188.80,河道,1989-07-22 00:00:00,,192.390
119.055800,27.626000,71111510,2023-04-27 22,阁门岭,340.29,,,340.29,,,浙闽台河流,,闽东沿海诸河,,,,,,,,,河道,,,
118.918610,27.619170,71111530,2023-04-27 22,马蹄岙水库,296.50,,,296.50,,,浙闽台河流,,闽东沿海诸河,,,,,,,,,水库,,,
118.635000,27.163000,71111700,2023-04-27 22,东游,125.60,,,125.60,,,浙闽台河流,,闽江上游区建溪,,,,,,,9.000,129.50,河道,2006-06-06 00:00:00,,135.450
118.852000,27.368000,71112002,2023-04-27 22,政和,196.06,,,196.06,200.50,,浙闽台河流,,闽江上游区建溪,,,,200.67,,,12.100,198.30,河道,1989-07-22 00:00:00,,202.370
118.716000,27.550000,71112260,2023-04-27 22,茶洲水库,234.48,,,234.48,245.58,,浙闽台河流,,闽江上游区建溪,,,,247.00,,,,245.50,水库,,,
118.600000,27.400000,71112360,2023-04-27 22,界溪水库,308.49,,,308.49,317.80,,浙闽台河流,,闽江上游区建溪,,,,319.50,,,,316.00,水库,,,
119.132400,27.561377,71140060,2023-04-27 22,仙坑水库,619.57,,,619.57,,,浙闽台河流,,瓯江,,,,,,,,,水库,,,
119.039050,27.673832,71140320,2023-04-27 22,上庄水库,539.88,,,539.88,,,浙闽台河流,,闽东沿海诸河,,,,,,,,,水库,,,
118.178000,26.640000,71200200,2023-04-27 22,延福门,59.28,,,59.28,73.90,,浙闽台河流,,闽江中下游区,,,,75.50,,,,68.50,河道,1998-06-23 00:00:00,,77.330
118.800565,26.300506,71200400,2023-04-27 22,水口水库,57.81,,,57.81,64.99,,浙闽台河流,,闽江中下游区,,,,74.00,,,,61.00,水库,,,
118.872000,26.227000,71200420,2023-04-27 22,下浦,2.70,,,2.70,,,浙闽台河流,,闽江中下游区,,,,,,,0.000,13.80,河道,1998-06-23 00:00:00,,24.350
119.098000,26.151000,71200500,2023-04-27 22,竹岐,1.19,,,1.19,12.80,,浙闽台河流,,闽江中下游区,,,,14.90,,,,9.80,河道,1998-06-23 00:00:00,,14.700
119.240000,26.098000,71200600,2023-04-27 22,文山里,0.50,,,0.50,,,浙闽台河流,,闽江中下游区,,,,13.30,,,,,河道,1998-06-23 14:00:00,,10.060
119.308000,26.050000,71200900,2023-04-27 22,解放大桥（上）,-0.29,,,-0.29,7.40,,浙闽台河流,,闽江中下游区,,,,8.27,,,,4.10,潮位,1992-07-07 00:00:00,,7.340
119.300000,26.050000,71200901,2023-04-27 22,解放大桥（下）,-0.61,,,-0.61,6.20,,浙闽台河流,,闽江中下游区,,,,7.53,,,,3.80,潮位,1998-06-23 00:00:00,,6.040
119.460000,25.973000,71201700,2023-04-27 22,白岩潭,-1.37,,,-1.37,4.10,,浙闽台河流,,闽江中下游区,,,,5.62,,,,3.30,潮位,1998-06-23 00:00:00,,4.440
119.564000,26.133000,71201900,2023-04-27 22,琯头,-1.47,,,-1.47,,,浙闽台河流,,闽江中下游区,,,,,,,,3.47,潮位,1969-09-27 00:00:00,,4.600
119.670000,26.013000,71202000,2023-04-27 22,梅花,-0.89,,,-0.89,,,浙闽台河流,,闽江中下游区,,,,,,,,3.60,潮位,1996-07-31 00:00:00,,4.830
117.834000,25.667000,71210202,2023-04-27 22,大田,353.00,,,353.00,357.00,,浙闽台河流,,闽江中下游区,,,,358.09,,,5.900,355.00,河道,1960-06-10 00:00:00,,357.690
118.049800,25.934800,71210360,2023-04-27 22,街面水库,278.10,,,278.10,291.10,,浙闽台河流,,闽江中下游区,,,,294.50,,,,288.40,水库,,,
118.128000,26.045000,71210400,2023-04-27 22,坂面,142.79,,,142.79,,,浙闽台河流,,闽江中下游区,,,,,,,,143.80,河道,1994-05-03 00:00:00,,150.670
