damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
0,2023-04-26 08:00:00,河南省,黄河,黄河,316.2,40104430,史家滩,475,0
0,2023-04-26 08:00:00,河南省,黄河,黄河,262.34,40104690,小浪底水库,6165,0
0,2023-04-26 08:00:00,青海省,黄河,巴燕河,2982.44,40400120,东大滩,21,0
0,2023-04-26 08:00:00,河南省,黄河,宏农涧河,640.91,40902500,窄口,96,5
0,2023-04-26 08:00:00,山西省,黄河,汾河,1121.2,41000500,汾河水库,130,0
0,2023-04-26 08:00:00,陕西省,黄河,黑河,579.38,41107180,金盆,117,35
0,2023-04-26 08:00:00,陕西省,黄河,石砭峪,722.4,41107950,石砭峪,18,7
0,2023-04-26 08:00:00,甘肃省,黄河,蒲河,1112.2,41202690,巴家嘴水库,1,0
0,2023-04-26 08:00:00,河南省,黄河,枯河,117.13,41401740,唐岗,4,0
0,2023-04-26 08:00:00,河南省,黄河,漭河,124.77,41401820,白墙,3,0
0,2023-04-26 08:00:00,山东省,黄河,东平湖,41.31,41502460,东平湖老湖,504,0
0,2023-04-26 08:00:00,河南省,黄河,伊河,314.07,41602500,陆浑坝上,463,0
0,2023-04-26 08:00:00,河南省,黄河,焦家川,605.06,41602700,青沟,2,0
0,2023-04-26 08:00:00,河南省,黄河,马涧河,312.77,41603550,九龙角,1,0
0,2023-04-26 08:00:00,河南省,黄河,刘涧河,128.45,41603620,陶花店,1,0
0,2023-04-26 08:00:00,河南省,黄河,洛河,526.39,41605400,故县水库,494,0
0,2023-04-26 08:00:00,河南省,黄河,马营涧,594.46,41606300,大沟口,6,0
0,2023-04-26 08:00:00,河南省,黄河,甘水河,326.0,41607100,范店,3,0
0,2023-04-26 08:00:00,河南省,黄河,陈宅河,398.67,41608750,寺河,3,0
0,2023-04-26 08:00:00,河南省,黄河,丹河,351.3,41704500,青天河,11,0
0,2023-04-26 08:00:00,山东省,淮河,潍河,98.46,41806800,墙夼水库(东库),83,0
0,2023-04-26 08:00:00,山东省,淮河,潍河,98.46,41806810,墙夼水库(西库),13,0
0,2023-04-26 08:00:00,山东省,淮河,潍河,37.16,41807100,峡山水库,499,0
0,2023-04-25 14:00:00,河南省,淮河,浉河,100.06,50201800,南湾,436,0
0,2023-04-25 08:00:00,河南省,淮河,小潢河,75.2,50202300,石山口,60,0
0,2023-04-25 14:00:00,河南省,淮河,青龙河,85.81,50202600,五岳,55,0
0,2023-04-25 14:00:00,河南省,淮河,泼陂河,77.12,50203500,泼河,83,0
0,2023-04-26 14:00:00,湖北省,淮河,界河,233.39,50223150,花山,82,0
0,2023-04-26 14:00:00,河南省,淮河,滚河,106.83,50300100,石漫滩,68,0
0,2023-04-26 08:00:00,河南省,淮河,汝河,107.83,50302010,板桥,135,0
0,2023-04-26 08:00:00,河南省,淮河,大沙河,150.37,50302150,火石山,4,0
0,2023-04-26 08:00:00,河南省,淮河,象河,109.34,50302180,霍庄,5,0
0,2023-04-26 08:00:00,河南省,淮河,黄溪河,116.73,50302190,老河,6,0
0,2023-04-26 08:00:00,河南省,淮河,汝河,52.11,50302400,宿鸭湖,165,0
0,2023-04-26 08:00:00,河南省,淮河,臻头河,110.42,50304900,薄山,168,0
